Num,Comments,Sample,MAPbI,MAPbBr,MAPbCl,Capping,Concentration,Annealing,Red,Green,Blue,Merit
0,-,#0-D1-MAPIBr_0_1_5mM_100C_cap5-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,05,5,100,368.3526202,2352.152,318.4446194,3038.949239
1,-,#1-C1-MAPIBr_0_1_10mM_75C_cap2-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,02,10,75,2116.257362,7448.665769,10194.16265,19759.08578
2,-,#2-B1-MAPIBr_0_1_10mM_75C_cap5-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,05,10,75,1022.265886,1039.471954,284.1141091,2345.851949
3,-,#3-A1-MAPIBr_0_1_5mM_100C_cap2-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,02,5,100,2151.330096,5260.034354,4603.950161,12015.31461
4,-,#4-D2-MAPIBr_0_1_10mM_75C_cap3-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,03,10,75,5120.267751,13501.1229,13836.19759,32457.58825
5,-,#5-C2-MAPIBr_0_1_10mM_75C_PTAI-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,PTEAI,10,75,6441.175162,9730.923713,1589.361121,17761.46
6,-,#6-B2-MAPIBr_0_1_5mM_75C_cap3-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,03,5,75,8823.717888,25215.94436,30190.28014,64229.94238
7,-,#7-A2-MAPIBr_0_1_5mM_100C_PTAI-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,PTEAI,5,100,6090.551639,8251.692823,5337.556805,19679.80127
8,-,#8-D3-MAPIBr_0_1_5mM_75C_cap1-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,01,5,75,2723.822696,16091.94337,22199.91923,41015.68529
9,-,#9-C3-MAPIBr_0_1_5mM_75C_cap4-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,04,5,75,1370.175912,11509.27518,9888.489678,22767.94077
10,-,#10-B3-MAPIBr_0_1-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,0,0,0,11093.39747,25053.15218,28663.55065,64810.10031
11,-,#11-A3-MAPIBr_0_1_10mM_75C_cap4-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,04,10,75,950.5616287,8190.293199,2943.929399,12084.78423
12,-,#12-D4-MAPIBr_0_1_5mM_75C_cap5-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,05,5,75,765.4021177,2450.005153,365.188887,3580.596158
13,-,#13-C4-MAPIBr_0_1-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,0,0,0,5463.197169,19345.03606,22556.80709,47365.04032
14,-,#14-B4-MAPIBr_0_1_10mM_100C_cap1-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,01,10,100,763.8184758,14623.35695,27924.74847,43311.9239
15,-,#15-A4-MAPIBr_0_1_5mM_75C_cap2-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,02,5,75,2313.964061,12085.42785,14883.91045,29283.30236
16,-,#16-D5-MAPIBr_0_1-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,0,0,0,4998.833345,11991.41749,8166.436494,25156.68733
17,-,#17-C5-MAPIBr_0_1_10mM_100C_cap2-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,02,10,100,1846.751197,4577.363896,2830.729558,9254.844651
18,-,#18-B5-MAPIBr_0_1_10mM_100C_cap5-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,05,10,100,431.1328031,2498.582752,480.7113888,3410.426944
19,-,#19-A5-MAPIBr_0_1_5mM_75C_PTAI-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,PTEAI,5,75,5665.356204,7319.135501,3486.378584,16470.87029
20,-,#20-D6-MAPIBr_0_1_10mM_100C_cap3-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,03,10,100,5479.608118,17854.35354,18847.18108,42181.14274
21,-,#21-C6-MAPIBr_0_1_10mM_100C_PTAI-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,PTEAI,10,100,6299.560317,10033.83317,1905.729365,18239.12285
22,-,#22-B6-MAPIBr_0_1_5mM_100C_cap3-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,03,5,100,3080.054475,13327.51374,9815.961895,26223.53011
23,-,#23-A6---MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,NaN,0,0,745.9085132,452.775571,1543.001953,2741.686037
24,-,#24-D7-MAPIBr_0_1_5mM_100C_cap1-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,01,5,100,1448.024519,4225.040766,1636.744653,7309.809938
25,-,#25-C7-MAPIBr_0_1_5mM_100C_cap4-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,04,5,100,570.8833182,3947.672332,532.8616886,5051.417338
26,-,#26-B7-MAPIBr_0_1_10mM_75C_cap1-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,01,10,75,614.2612354,8022.237627,9161.274526,17797.77339
27,-,#27-A7-MAPIBr_0_1_10mM_100C_cap4-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,04,10,100,1431.546517,6267.428075,1338.154414,9037.129006
