Num,Comments,Sample,MAPbI,MAPbBr,MAPbCl,Capping,Concentration,Annealing,Red,Green,Blue,Merit
0,-,#0-D1-MAPIBr_1_0_10mM_100C_cap9-MAPbI1 MAPbBr0 MAPbCl0 ,1,0,0,09,10,100,17662.8553,15422.25033,5192.254775,38277.36041
1,-,#1-C1-MAPIBr_1_0_10mM_100C_cap6-MAPbI1 MAPbBr0 MAPbCl0 ,1,0,0,06,10,100,29950.67446,27838.21292,4439.236745,62228.12413
2,-,#2-B1-MAPIBr_1_0_10mM_100C_cap7-MAPbI1 MAPbBr0 MAPbCl0 ,1,0,0,07,10,100,33104.05746,36485.11405,4559.075052,74148.24656
3,-,#3-A1-MAPIBr_1_0_10mM_100C_cap1-MAPbI1 MAPbBr0 MAPbCl0 ,1,0,0,01,10,100,35643.38688,35331.25463,3363.366848,74338.00836
4,-,#4-D2-MAPIBr_1_0_10mM_100C_cap6-MAPbI1 MAPbBr0 MAPbCl0 ,1,0,0,06,10,100,29227.47194,26607.41271,3013.06771,58847.95236
5,-,#5-C2-MAPIBr_1_0-MAPbI1 MAPbBr0 MAPbCl0 ,1,0,0,0,0,0,32257.72008,33491.69707,4321.870547,70071.28769
6,-,#6-B2-MAPIBr_1_0_10mM_100C_cap1-MAPbI1 MAPbBr0 MAPbCl0 ,1,0,0,01,10,100,38442.04254,38627.4805,6943.827974,84013.35102
7,-,#7-A2-MAPIBr_1_0_10mM_100C_cap4-MAPbI1 MAPbBr0 MAPbCl0 ,1,0,0,04,10,100,40545.11203,42149.84274,6677.343594,89372.29836
8,-,#8-D3---MAPbI0 MAPbBr0 MAPbCl0 ,0,0,0,NaN,0,0,84.25203709,301.6165907,482.4607849,868.3294128
9,-,#9-C3-MAPIBr_1_0_10mM_100C_cap2-MAPbI1 MAPbBr0 MAPbCl0 ,1,0,0,02,10,100,45472.22386,45428.36227,8253.618243,99154.20437
10,-,#10-B3-MAPIBr_1_0_10mM_100C_cap4-MAPbI1 MAPbBr0 MAPbCl0 ,1,0,0,04,10,100,40192.67821,42223.33472,6581.36661,88997.37953
11,-,#11-A3-MAPIBr_1_0-MAPbI1 MAPbBr0 MAPbCl0 ,1,0,0,0,0,0,33388.25294,36322.88298,4991.272528,74702.40845
12,-,#12-D4-MAPIBr_1_0_10mM_100C_cap2-MAPbI1 MAPbBr0 MAPbCl0 ,1,0,0,02,10,100,43734.99186,44037.95136,7075.995027,94848.93824
13,-,#13-C4-MAPIBr_1_0_10mM_100C_cap5-MAPbI1 MAPbBr0 MAPbCl0 ,1,0,0,05,10,100,32224.95264,32216.60681,4526.168428,68967.72788
14,-,#14-B4-MAPIBr_1_0_10mM_100C_cap8-MAPbI1 MAPbBr0 MAPbCl0 ,1,0,0,08,10,100,40159.90753,42074.56641,6531.995156,88766.4691
15,-,#15-A4-MAPIBr_1_0_10mM_100C_cap10-MAPbI1 MAPbBr0 MAPbCl0 ,1,0,0,10,10,100,36653.90546,33822.8563,17778.53245,88255.29421
16,-,#16-D5-MAPIBr_1_0_10mM_100C_cap5-MAPbI1 MAPbBr0 MAPbCl0 ,1,0,0,05,10,100,22363.59279,19810.44186,1631.984505,43806.01915
17,-,#17-C5-MAPIBr_1_0_10mM_100C_cap8-MAPbI1 MAPbBr0 MAPbCl0 ,1,0,0,08,10,100,38310.91047,41698.64777,3646.510013,83656.06826
18,-,#18-B5-MAPIBr_1_0_10mM_100C_PTAI-MAPbI1 MAPbBr0 MAPbCl0 ,1,0,0,PTEAI,10,100,10457.09211,8172.643397,2871.659364,21501.39488
19,-,#19-A5-MAPIBr_1_0-MAPbI1 MAPbBr0 MAPbCl0 ,1,0,0,0,0,0,27830.38959,30498.80289,8887.893261,67217.08573
20,-,#20-D6-MAPIBr_1_0_10mM_100C_cap10-MAPbI1 MAPbBr0 MAPbCl0 ,1,0,0,10,10,100,33066.95601,33143.19904,3887.833251,70097.9883
21,-,#21-C6-MAPIBr_1_0_10mM_100C_PTAI-MAPbI1 MAPbBr0 MAPbCl0 ,1,0,0,PTEAI,10,100,13874.62092,9169.945167,1875.53078,24920.09687
22,-,#22-B6-MAPIBr_1_0-MAPbI1 MAPbBr0 MAPbCl0 ,1,0,0,0,0,0,28117.34533,28188.8106,5007.54766,61313.70359
23,-,#23-A6-MAPIBr_1_0_10mM_100C_cap3-MAPbI1 MAPbBr0 MAPbCl0 ,1,0,0,03,10,100,35290.90881,32989.36368,5034.168139,73314.44062
24,-,#24-D7-MAPIBr_1_0-MAPbI1 MAPbBr0 MAPbCl0 ,1,0,0,0,0,0,24802.15129,22897.01217,4201.205811,51900.36927
25,-,#25-C7-MAPIBr_1_0_10mM_100C_cap9-MAPbI1 MAPbBr0 MAPbCl0 ,1,0,0,09,10,100,436.5325286,268.4003015,283.4927052,988.4255352
26,-,#26-B7-MAPIBr_1_0_10mM_100C_cap3-MAPbI1 MAPbBr0 MAPbCl0 ,1,0,0,03,10,100,33992.34689,31277.14669,3555.184995,68824.67858
27,-,#27-A7-MAPIBr_1_0_10mM_100C_cap7-MAPbI1 MAPbBr0 MAPbCl0 ,1,0,0,07,10,100,33433.02304,31379.36671,2165.81779,66978.20755
