Num,Comments,Sample,MAPbI,MAPbBr,MAPbCl,Capping,Concentration,Annealing,Red,Green,Blue,Merit
0,-,#0-D1-MAPIBr_1_1_5mM_75C_cap2-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,02,5,75,19088.2747,37978.50228,38524.0544,95590.83138
1,-,#1-C1-MAPIBr_1_1_5mM_75C_cap5-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,05,5,75,18683.56219,24504.6944,14113.91345,57302.17004
2,-,#2-B1-MAPIBr_1_1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,0,0,0,15629.60607,29191.03237,24259.04102,69079.67946
3,-,#3-A1-MAPIBr_1_1_10mM_100C_cap1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,01,10,100,11876.34354,22726.26307,12108.21652,46710.82314
4,-,#4-D2-MAPIBr_1_1_5mM_75C_PTAI-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,PTEAI,5,75,15041.29466,15672.3458,7420.308208,38133.94867
5,-,#5-C2---MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,NaN,0,0,155.6823483,144.4415038,1041.131684,1341.255536
6,-,#6-B2-MAPIBr_1_1_10mM_100C_cap2-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,02,10,100,12626.00002,34553.09272,28399.05612,75578.14887
7,-,#7-A2-MAPIBr_1_1_10mM_100C_cap5-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,05,10,100,10786.36194,11917.21748,8906.22237,31609.80179
8,-,#8-D3-MAPIBr_1_1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,0,0,0,24348.53524,33635.86363,26381.43198,84365.83085
9,-,#9-C3-MAPIBr_1_1_10mM_100C_cap3-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,03,10,100,29303.40017,41716.95391,36592.55415,107612.9082
10,-,#10-B3-MAPIBr_1_1_10mM_100C_PTAI-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,PTEAI,10,100,10565.26619,12599.96008,6232.007697,29397.23396
11,-,#11-A3-MAPIBr_1_1_5mM_100C_cap3-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,03,5,100,13922.92391,26877.99339,16892.06242,57692.97972
12,-,#12-D4-MAPIBr_1_1_10mM_100C_cap4-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,04,10,100,22296.597,24621.96902,10256.97946,57175.54548
13,-,#13-C4-MAPIBr_1_1_5mM_100C_cap1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,01,5,100,19591.62766,35716.83712,31372.7945,86681.25928
14,-,#14-B4-MAPIBr_1_1_5mM_100C_cap4-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,04,5,100,16011.75796,25491.41415,11249.01768,52752.1898
15,-,#15-A4-MAPIBr_1_1_10mM_75C_cap1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,01,10,75,9379.09062,23791.59002,17740.24823,50910.92888
16,-,#16-D5-MAPIBr_1_1_5mM_100C_cap2-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,02,5,100,21516.06488,38363.62446,33741.42544,93621.11478
17,-,#17-C5-MAPIBr_1_1_5mM_100C_cap5-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,05,5,100,21514.17866,27867.80903,12376.40589,61758.39358
18,-,#18-B5-MAPIBr_1_1_10mM_75C_cap2-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,02,10,75,12786.04911,37557.27707,33788.38245,84131.70863
19,-,#19-A5-MAPIBr_1_1_10mM_75C_cap5-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,05,10,75,10950.65791,13223.96519,12736.00734,36910.63044
20,-,#20-D6-MAPIBr_1_1_5mM_100C_PTAI-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,PTEAI,5,100,21369.31737,23041.5104,14084.53352,58495.36129
21,-,#21-C6-MAPIBr_1_1_10mM_75C_cap3-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,03,10,75,28840.61091,35428.44827,28663.54498,92932.60417
22,-,#22-B6-MAPIBr_1_1_10mM_75C_PTAI-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,PTEAI,10,75,12346.61571,10164.82622,5119.263991,27630.70592
23,-,#23-A6-MAPIBr_1_1_5mM_75C_cap3-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,03,5,75,15893.7826,30811.76952,27257.72206,73963.27418
24,-,#24-D7-MAPIBr_1_1_10mM_75C_cap4-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,04,10,75,23611.10175,22415.38536,6983.001196,53009.48831
25,-,#25-C7-MAPIBr_1_1_5mM_75C_cap1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,01,5,75,20721.38828,34758.34738,34902.37792,90382.11358
26,-,#26-B7-MAPIBr_1_1_5mM_75C_cap4-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,04,5,75,17812.94195,23067.88056,13174.10553,54054.92804
27,-,#27-A7-MAPIBr_1_1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,0,0,0,13958.29012,23150.44646,12859.85005,49968.58663
