,Sample,Red,Green,Blue,Merit
0,#0-D1-MAPIBr_1_1_5mM_75C_cap2-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,19088.274698873684,37978.50227973042,38524.05439847801,95590.83137708211
1,#1-C1-MAPIBr_1_1_5mM_75C_cap5-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,18683.56219198714,24504.694396495557,14113.913452931,57302.1700414137
2,#2-B1-MAPIBr_1_1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,15629.606067375338,29191.032372819423,24259.041015064893,69079.67945525965
3,#3-A1-MAPIBr_1_1_10mM_100C_cap1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,11876.343544886226,22726.263074407376,12108.216522185863,46710.823141479465
4,#4-D2-MAPIBr_1_1_5mM_75C_PTAI-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,15041.294658453246,15672.345804758594,7420.308207973827,38133.948671185666
5,#5-C2---MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,155.68234825439347,144.4415037886272,1041.1316838311905,1341.255535874211
6,#6-B2-MAPIBr_1_1_10mM_100C_cap2-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,12626.000023122431,34553.09272294748,28399.056120162088,75578.14886623199
7,#7-A2-MAPIBr_1_1_10mM_100C_cap5-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,10786.361939348315,11917.217482671891,8906.22237028144,31609.801792301645
8,#8-D3-MAPIBr_1_1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,24348.535238710523,33635.863628486535,26381.43198220127,84365.83084939833
9,#9-C3-MAPIBr_1_1_10mM_100C_cap3-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,29303.400170005876,41716.95390542002,36592.554145131944,107612.90822055785
10,#10-B3-MAPIBr_1_1_10mM_100C_PTAI-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,10565.266186911453,12599.960077135716,6232.007696528458,29397.233960575628
11,#11-A3-MAPIBr_1_1_5mM_100C_cap3-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,13922.923906126523,26877.99339142141,16892.06242445543,57692.979722003365
12,#12-D4-MAPIBr_1_1_10mM_100C_cap4-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,22296.597000254704,24621.96902477628,10256.979456899604,57175.54548193059
13,#13-C4-MAPIBr_1_1_5mM_100C_cap1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,19591.62765534842,35716.83712214054,31372.794500998447,86681.25927848741
14,#14-B4-MAPIBr_1_1_5mM_100C_cap4-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,16011.757959787239,25491.414153963073,11249.017682749738,52752.18979650005
15,#15-A4-MAPIBr_1_1_10mM_75C_cap1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,9379.090620040675,23791.590024784167,17740.248233317932,50910.928878142775
16,#16-D5-MAPIBr_1_1_5mM_100C_cap2-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,21516.064881517246,38363.62446009285,33741.42544190893,93621.11478351902
17,#17-C5-MAPIBr_1_1_5mM_100C_cap5-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,21514.178658733967,27867.809030429973,12376.405889943106,61758.39357910704
18,#18-B5-MAPIBr_1_1_10mM_75C_cap2-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,12786.049110040105,37557.27707390504,33788.38244990691,84131.70863385205
19,#19-A5-MAPIBr_1_1_10mM_75C_cap5-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,10950.65791124771,13223.965187774258,12736.007338776204,36910.63043779817
20,#20-D6-MAPIBr_1_1_5mM_100C_PTAI-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,21369.317367697728,23041.510399038638,14084.533519154496,58495.36128589086
21,#21-C6-MAPIBr_1_1_10mM_75C_cap3-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,28840.6109147625,35428.44826838928,28663.544982992757,92932.60416614453
22,#22-B6-MAPIBr_1_1_10mM_75C_PTAI-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,12346.615712657967,10164.82621590833,5119.263990603913,27630.705919170214
23,#23-A6-MAPIBr_1_1_5mM_75C_cap3-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,15893.782597302205,30811.7695247831,27257.722061160497,73963.2741832458
24,#24-D7-MAPIBr_1_1_10mM_75C_cap4-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,23611.10174809896,22415.385362550333,6983.001196145259,53009.48830679455
25,#25-C7-MAPIBr_1_1_5mM_75C_cap1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,20721.388284254488,34758.34737852507,34902.37792029101,90382.11358307056
26,#26-B7-MAPIBr_1_1_5mM_75C_cap4-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,17812.941952190067,23067.88056085903,13174.105526115856,54054.92803916495
27,#27-A7-MAPIBr_1_1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,13958.290118239003,23150.4464635608,12859.850048382177,49968.58663018198
