,Sample,Red,Green,Blue,Merit
0,#0-D1-MAPIBr_1_0_10mM_100C_cap9-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,1471.9989289487326,830.4043057597473,739.5663208194641,3041.969555527944
1,#1-C1-MAPIBr_1_0_5mM_100C_cap6-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,25001.351240017535,23853.62110698297,4732.826005141903,53587.7983521424
2,#2-B1-MAPIBr_1_0_5mM_100C_cap9-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,17423.119895078027,10823.159295091535,3363.144392353741,31609.423582523305
3,#3-A1-MAPIBr_1_0_10mM_75C_cap6-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,26980.000738582978,27144.558097940466,4728.247314699605,58852.80615122305
4,#4-D2-MAPIBr_1_0_5mM_100C_cap7-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,31484.623880867948,31659.882254121487,5854.571186965457,68999.07732195489
5,#5-C2-MAPIBr_1_0_5mM_100C_cap10-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,29936.07517428239,33050.69778123858,4507.108112324788,67493.88106784577
6,#6-B2-MAPIBr_1_0_10mM_75C_cap7-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,23206.785009130617,25950.122426772014,9837.350680491267,58994.2581163939
7,#7-A2-MAPIBr_1_0_10mM_75C_cap10-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,25243.64857860686,24785.988584708026,15917.211079645595,65946.84824296048
8,#8-D3-MAPIBr_1_0_5mM_100C_PTAI-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,15793.60325508658,15096.953002420294,3436.8206846221233,34327.376942129
9,#9-C3-MAPIBr_1_0_10mM_75C_cap8-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,39216.097349822914,40295.97977433245,7117.471562857744,86629.54868701311
10,#10-B3-MAPIBr_1_0_10mM_75C_PTAI-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,5091.389393814938,4737.26155839401,4347.838270299616,14176.489222508564
11,#11-A3-MAPIBr_1_0_5mM_75C_cap8-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,36498.095705805965,39451.93013744213,3757.2777491974,79707.30359244549
12,#12-D4---MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,118.31117125593569,140.52201142321888,308.04436838537606,566.8775510645306
13,#13-C4-MAPIBr_1_0_5mM_75C_cap6-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,27929.342818166533,25124.614717206,2176.381795463778,55230.339330836316
14,#14-B4-MAPIBr_1_0_5mM_75C_cap9-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,8202.436646281745,5111.846964615143,750.2167151219628,14064.50032601885
15,#15-A4-MAPIBr_1_0-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,32858.4699596605,26691.980017300106,13948.935311391682,73499.38528835229
16,#16-D5-MAPIBr_1_0_5mM_75C_cap7-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,30492.531939838613,30745.16533954249,1513.734869858207,62751.43214923931
17,#17-C5-MAPIBr_1_0_5mM_75C_cap10-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,31896.229154561883,34407.3868304357,2380.694946515296,68684.31093151288
18,#18-B5---MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,167.58274371574942,48.48212765276425,1288.202077398089,1504.2669487666028
19,#19-A5-MAPIBr_1_0_10mM_100C_cap6 -MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,19400.414003455502,16083.733579270951,6886.997211930451,42371.1447946569
20,#20-D6-MAPIBr_1_0_5mM_75C_PTAI-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,2730.7116117924515,3976.880321042751,4872.020708150663,11579.612640985866
21,#21-C6-MAPIBr_1_0-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,29099.111318733016,28668.526709073532,1993.552764960244,59761.19079276679
22,#22-B6-MAPIBr_1_0_10mM_100C_cap7-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,33240.594937685135,33036.174535735954,3636.096202818188,69912.86567623928
23,#23-A6-MAPIBr_1_0_10mM_100C_cap10-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,25334.90579146546,24594.289942138963,14721.10266829125,64650.29840189568
24,#24-D7-MAPIBr_1_0-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,31302.52664969949,27008.930226014225,2857.720612543137,61169.17748825686
25,#25-C7-MAPIBr_1_0_10mM_100C_cap8-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,33022.31537462938,32945.17447641654,5469.744992151584,71437.23484319751
26,#26-B7-MAPIBr_1_0_10mM_100C_PTAI-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,2353.1766074702664,965.585205431406,1725.1040152097346,5043.865828111408
27,#27-A7-MAPIBr_1_0_5mM_100C_cap8-MAPbI1.0 MAPbBr0.0 MAPbCl0.0 ,38855.509035726,39730.06429968943,4279.219869877283,82864.79320529272
