Num,Comments,Sample,MAPbI,MAPbBr,MAPbCl,Capping,Concentration,Annealing,Red,Green,Blue,Merit
0,-,#0-D1-MAPIBr_1_1_5mM_100C_cap6-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,06,5,100,21411.62194,32659.89993,28596.30552,82667.82739
1,-,#1-C1-MAPIBr_1_1_5mM_100C_cap9-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,09,5,100,20870.81343,25961.51451,6310.429162,53142.75711
2,-,#2-B1-MAPIBr_1_1_10mM_75C_cap6-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,06,10,75,17442.5482,28286.72296,24188.8793,69918.15047
3,-,#3-A1-MAPIBr_1_1_10mM_100C_cap9-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,09,10,100,11110.12639,16977.77052,2051.329245,30139.22616
4,-,#4-D2-MAPIBr_1_1_5mM_100C_cap10-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,10,5,100,22020.40328,39032.92204,36717.60685,97770.93218
5,-,#5-C2-MAPIBr_1_1_10mM_75C_cap7-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,07,10,75,18726.02261,29615.34323,24301.63309,72642.99893
6,-,#6-B2-MAPIBr_1_1_10mM_75C_cap10-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,10,10,75,15162.61878,36056.02378,35534.50259,86753.14515
7,-,#7-A2-MAPIBr_1_1_5mM_100C_cap7-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,07,5,100,12097.79979,32282.36185,27145.13279,71525.29443
8,-,#8-D3-MAPIBr_1_1_10mM_75C_cap8-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,08,10,75,23176.25763,33284.75397,21774.67577,78235.68737
9,-,#9-C3-MAPIBr_1_1_10mM_75C_PTAI-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,PTEAI,10,75,12778.16173,5143.787538,1232.473,19154.42227
10,-,#10-B3-MAPIBr_1_1_5mM_75C_cap8-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,08,5,75,17299.34005,38207.04954,27953.96031,83460.3499
11,-,#11-A3-MAPIBr_1_1_5mM_100C_PTAI-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,PTEAI,5,100,7163.497645,8267.473566,3291.763397,18722.73461
12,-,#12-D4-MAPIBr_1_1_5mM_75C_cap6-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,06,5,75,21945.98045,33836.84346,30637.75835,86420.58227
13,-,#13-C4-MAPIBr_1_1_5mM_75C_cap9-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,09,5,75,12747.33231,10593.15908,2929.197945,26269.68934
14,-,#14-B4-MAPIBr_1_1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,0,0,0,14295.27843,28839.41021,24173.46924,67308.15788
15,-,#15-A4-MAPIBr_1_1_10mM_75C_cap9-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,09,10,75,7481.067717,5587.153223,8599.405835,21667.62677
16,-,#16-D5-MAPIBr_1_1_5mM_75C_cap10-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,10,5,75,22649.0813,39709.3627,38965.03251,101323.4765
17,-,#17-C5-MAPIBr_1_1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,0,0,0,22518.47086,33759.22501,26309.67836,82587.37423
18,-,#18-B5-MAPIBr_1_1_10mM_100C_cap6-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,06,10,100,18595.78362,29911.15509,22835.9493,71342.88801
19,-,#19-A5-MAPIBr_1_1_5mM_75C_cap7-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,07,5,75,8791.959783,24223.46432,17800.92543,50816.34953
20,-,#20-D6-MAPIBr_1_1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,0,0,0,27050.31644,28979.97475,15051.4309,71081.72209
21,-,#21-C6-MAPIBr_1_1_10mM_100C_cap7-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,07,10,100,19319.63997,25448.34235,16155.87991,60923.86223
22,-,#22-B6-MAPIBr_1_1_10mM_100C_cap10-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,10,10,100,18851.45974,36658.64113,33336.55428,88846.65515
23,-,#23-A6-MAPIBr_1_1_5mM_75C_PTAI-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,PTEAI,5,75,2906.677892,2757.694466,2728.554129,8392.926487
24,-,#24-D7-MAPIBr_1_1_10mM_100C_cap8-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,08,10,100,20929.15347,29525.11064,23294.04253,73748.30663
25,-,#25-C7-MAPIBr_1_1_10mM_100C_PTAI-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,PTEAI,10,100,6052.959166,1317.864177,796.0467732,8166.870116
