,Sample,Red,Green,Blue,Merit
0,#0-D1-MAPIBr_1_1_5mM_100C_cap6-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,21411.621938114793,32659.899928732542,28596.305524870946,82667.82739171828
1,#1-C1-MAPIBr_1_1_5mM_100C_cap9-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,20870.813430662973,25961.514512304577,6310.429162449313,53142.757105416866
2,#2-B1-MAPIBr_1_1_10mM_75C_cap6-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,17442.54820425342,28286.722959284973,24188.87930374407,69918.15046728247
3,#3-A1-MAPIBr_1_1_10mM_100C_cap9-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,11110.126392509012,16977.770518564757,2051.329245319306,30139.226156393073
4,#4-D2-MAPIBr_1_1_5mM_100C_cap10-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,22020.40328173823,39032.92204297828,36717.60685096914,97770.93217568565
5,#5-C2-MAPIBr_1_1_10mM_75C_cap7-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,18726.022612352142,29615.343230444476,24301.633092066724,72642.99893486334
6,#6-B2-MAPIBr_1_1_10mM_75C_cap10-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,15162.618784363623,36056.023778512776,35534.502587727875,86753.14515060428
7,#7-A2-MAPIBr_1_1_5mM_100C_cap7-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,12097.79978538681,32282.36184713377,27145.1327940366,71525.29442655717
8,#8-D3-MAPIBr_1_1_10mM_75C_cap8-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,23176.2576270159,33284.75397399354,21774.675771285973,78235.68737229542
9,#9-C3-MAPIBr_1_1_10mM_75C_PTAI-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,12778.161727923407,5143.787537725284,1232.472999944501,19154.42226559319
10,#10-B3-MAPIBr_1_1_5mM_75C_cap8-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,17299.340049236722,38207.04954114995,27953.960312385552,83460.34990277223
11,#11-A3-MAPIBr_1_1_5mM_100C_PTAI-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,7163.497644682114,8267.47356562032,3291.763396509418,18722.73460681185
12,#12-D4-MAPIBr_1_1_5mM_75C_cap6-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,21945.9804526995,33836.843457827425,30637.75835460871,86420.58226513563
13,#13-C4-MAPIBr_1_1_5mM_75C_cap9-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,12747.33231134165,10593.159084830935,2929.1979446195664,26269.689340792153
14,#14-B4-MAPIBr_1_1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,14295.27843045523,28839.410214855907,24173.46923667563,67308.15788198677
15,#15-A4-MAPIBr_1_1_10mM_75C_cap9-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,7481.067716797466,5587.153223007957,8599.405835146083,21667.626774951506
16,#16-D5-MAPIBr_1_1_5mM_75C_cap10-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,22649.08130395348,39709.362696744356,38965.03250631417,101323.476507012
17,#17-C5-MAPIBr_1_1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,22518.470863251445,33759.22500983122,26309.678356346067,82587.37422942874
18,#18-B5-MAPIBr_1_1_10mM_100C_cap6-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,18595.783618095506,29911.155089953012,22835.94930046985,71342.88800851836
19,#19-A5-MAPIBr_1_1_5mM_75C_cap7-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,8791.959783272941,24223.46431984824,17800.925425657064,50816.34952877824
20,#20-D6-MAPIBr_1_1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,27050.316437344034,28979.974746939206,15051.430904958752,71081.72208924199
21,#21-C6-MAPIBr_1_1_10mM_100C_cap7-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,19319.639974786063,25448.342348907452,16155.879910320466,60923.862234013985
22,#22-B6-MAPIBr_1_1_10mM_100C_cap10-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,18851.459741938354,36658.6411342095,33336.554277554795,88846.65515370265
23,#23-A6-MAPIBr_1_1_5mM_75C_PTAI-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,2906.6778920267693,2757.6944664839993,2728.554128639218,8392.926487149987
24,#24-D7-MAPIBr_1_1_10mM_100C_cap8-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,20929.153469807494,29525.110635094243,23294.04252673002,73748.30663163176
25,#25-C7-MAPIBr_1_1_10mM_100C_PTAI-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,6052.959165579883,1317.8641772084857,796.0467731587709,8166.870115947139
26,#26-B7-MAPIBr_1_1_5mM_100C_cap8-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,18961.522416758078,31769.162788229933,22777.84827493904,73508.53347992705
27,#27-A7---MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,443.5041977953685,485.40005987080644,1381.1937748229668,2310.0980324891416
