Num,Comments,Sample,MAPbI,MAPbBr,MAPbCl,Capping,Concentration,Annealing
0,-,#0-D1-MAPIBr_0_1_5mM_100C_cap5-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,05,5,100
1,-,#1-C1-MAPIBr_0_1_10mM_75C_cap2-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,02,10,75
2,-,#2-B1-MAPIBr_0_1_10mM_75C_cap5-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,05,10,75
3,-,#3-A1-MAPIBr_0_1_5mM_100C_cap2-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,02,5,100
4,-,#4-D2-MAPIBr_0_1_10mM_75C_cap3-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,03,10,75
5,-,#5-C2-MAPIBr_0_1_10mM_75C_PTAI-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,PTEAI,10,75
6,-,#6-B2-MAPIBr_0_1_5mM_75C_cap3-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,03,5,75
7,-,#7-A2-MAPIBr_0_1_5mM_100C_PTAI-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,PTEAI,5,100
8,-,#8-D3-MAPIBr_0_1_5mM_75C_cap1-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,01,5,75
9,-,#9-C3-MAPIBr_0_1_5mM_75C_cap4-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,04,5,75
10,-,#10-B3-MAPIBr_0_1-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,0,0,0
11,-,#11-A3-MAPIBr_0_1_10mM_75C_cap4-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,04,10,75
12,-,#12-D4-MAPIBr_0_1_5mM_75C_cap5-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,05,5,75
13,-,#13-C4-MAPIBr_0_1-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,0,0,0
14,-,#14-B4-MAPIBr_0_1_10mM_100C_cap1-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,01,10,100
15,-,#15-A4-MAPIBr_0_1_5mM_75C_cap2-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,02,5,75
16,-,#16-D5-MAPIBr_0_1-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,0,0,0
17,-,#17-C5-MAPIBr_0_1_10mM_100C_cap2-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,02,10,100
18,-,#18-B5-MAPIBr_0_1_10mM_100C_cap5-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,05,10,100
19,-,#19-A5-MAPIBr_0_1_5mM_75C_PTAI-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,PTEAI,5,75
20,-,#20-D6-MAPIBr_0_1_10mM_100C_cap3-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,03,10,100
21,-,#21-C6-MAPIBr_0_1_10mM_100C_PTAI-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,PTEAI,10,100
22,-,#22-B6-MAPIBr_0_1_5mM_100C_cap3-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,03,5,100
23,-,#23-A6---MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,NaN,0,0
24,-,#24-D7-MAPIBr_0_1_5mM_100C_cap1-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,01,5,100
25,-,#25-C7-MAPIBr_0_1_5mM_100C_cap4-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,04,5,100
26,-,#26-B7-MAPIBr_0_1_10mM_75C_cap1-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,01,10,75
27,-,#27-A7-MAPIBr_0_1_10mM_100C_cap4-MAPbI0.0 MAPbBr1.0 MAPbCl0.0 ,0,1,0,04,10,100
