,Comments,Sample,MAPbI,MAPbBr,MAPbCl
0,-,#0-D1-MAPIBr_1_1_10mM_100C_cap1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0.0
1,-,#1-C1-MAPIBr_1_1_10mM_100C_cap2-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0.0
2,-,#2-B1-MAPIBr_1_1_10mM_100C_cap5-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0.0
3,-,#3-A1-MAPIBr_1_1_10mM_100C_cap9-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0.0
4,-,#4-D2-MAPIBr_1_1_10mM_100C_cap4-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0.0
5,-,#5-C2-MAPIBr_1_1_10mM_100C_cap5-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0.0
6,-,#6-B2-MAPIBr_1_1_10mM_100C_cap9-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0.0
7,-,#7-A2-MAPIBr_1_1_10mM_100C_cap6-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0.0
8,-,#8-D3-MAPIBr_1_1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0.0
9,-,#9-C3-MAPIBr_1_1_10mM_100C_cap3-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0.0
10,-,#10-B3-MAPIBr_1_1_10mM_100C_cap6-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0.0
11,-,#11-A3-MAPIBr_1_1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0.0
12,-,#12-D4-MAPIBr_1_1_10mM_100C_cap3-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0.0
13,-,#13-C4-MAPIBr_1_1_10mM_100C_cap7-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0.0
14,-,#14-B4-MAPIBr_1_1_10mM_100C_cap8-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0.0
15,-,#15-A4-MAPIBr_1_1_10mM_100C_cap10-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0.0
16,-,#16-D5-MAPIBr_1_1_10mM_100C_cap7-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0.0
17,-,#17-C5-MAPIBr_1_1_10mM_100C_cap8-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0.0
18,-,#18-B5-MAPIBr_1_1_10mM_100C_PTAI-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0.0
19,-,#19-A5-MAPIBr_1_1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0.0
20,-,#20-D6-MAPIBr_1_1_10mM_100C_cap10-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0.0
21,-,#21-C6-MAPIBr_1_1_10mM_100C_PTAI-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0.0
22,-,#22-B6-MAPIBr_1_1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0.0
23,-,#23-A6-MAPIBr_1_1_10mM_100C_cap1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0.0
24,-,#24-D7-MAPIBr_1_1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0.0
25,-,#25-C7-MAPIBr_1_1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0.0
26,-,#26-B7-MAPIBr_1_1_10mM_100C_cap2-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0.0
27,-,#27-A7-MAPIBr_1_1_10mM_100C_cap4-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0.0
