Num,Comments,Sample,MAPbI,MAPbBr,MAPbCl,Capping,Concentration,Annealing,Red,Green,Blue,Merit
0,-,#0-D1-MAPIBr_1_1_10mM_100C_cap1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,01,10,100,20714.91441,35776.16138,33839.33137,90330.40716
1,-,#1-C1-MAPIBr_1_1_10mM_100C_cap2-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,02,10,100,22283.1435,40427.24039,28467.26924,91177.65313
2,-,#2-B1-MAPIBr_1_1_10mM_100C_cap5-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,05,10,100,12237.62215,12580.78257,6534.494124,31352.89884
3,-,#3-A1-MAPIBr_1_1_10mM_100C_cap9-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,09,10,100,8501.69669,6322.569414,737.6573819,15561.92349
4,-,#4-D2-MAPIBr_1_1_10mM_100C_cap4-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,04,10,100,23889.445,26238.47642,10585.7325,60713.65392
5,-,#5-C2-MAPIBr_1_1_10mM_100C_cap5-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,05,10,100,15790.91473,17146.60172,6213.870408,39151.38686
6,-,#6-B2-MAPIBr_1_1_10mM_100C_cap9-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,09,10,100,14326.61474,18836.93185,3066.838637,36230.38523
7,-,#7-A2-MAPIBr_1_1_10mM_100C_cap6-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,06,10,100,18825.59845,33140.78978,26722.11394,78688.50217
8,-,#8-D3-MAPIBr_1_1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,0,0,0,22257.50195,33325.30832,29161.0048,84743.81507
9,-,#9-C3-MAPIBr_1_1_10mM_100C_cap3-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,03,10,100,24063.82354,38201.57549,35437.13552,97702.53455
10,-,#10-B3-MAPIBr_1_1_10mM_100C_cap6-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,06,10,100,20902.06939,33928.58673,25366.55941,80197.21553
11,-,#11-A3-MAPIBr_1_1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,0,0,0,12722.16926,27458.69721,18831.23509,59012.10156
12,-,#12-D4-MAPIBr_1_1_10mM_100C_cap3-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,03,10,100,23366.2277,37873.53785,36151.44911,97391.21466
13,-,#13-C4-MAPIBr_1_1_10mM_100C_cap7-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,07,10,100,22086.79813,37956.2334,30467.83152,90510.86305
14,-,#14-B4-MAPIBr_1_1_10mM_100C_cap8-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,08,10,100,20612.38492,39157.56299,28320.34596,88090.29387
15,-,#15-A4-MAPIBr_1_1_10mM_100C_cap10-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,10,10,100,14897.51221,36179.01931,33320.44609,84396.97761
16,-,#16-D5-MAPIBr_1_1_10mM_100C_cap7-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,07,10,100,21288.48282,31350.06886,21735.79318,74374.34486
17,-,#17-C5-MAPIBr_1_1_10mM_100C_cap8-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,08,10,100,23084.00948,36999.2941,29555.49148,89638.79506
18,-,#18-B5-MAPIBr_1_1_10mM_100C_PTAI-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,PTEAI,10,100,7594.466409,5808.103329,3277.567478,16680.13722
19,-,#19-A5-MAPIBr_1_1-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,0,0,0,11340.61199,24174.79978,16583.73112,52099.14289
20,-,#20-D6-MAPIBr_1_1_10mM_100C_cap10-MAPbI0.5 MAPbBr0.5 MAPbCl0.0 ,0.5,0.5,0,10,10,100,26493.97747,43806.48321,43306.32698,113606.7877
