,0
0,0.210638576
1,0.200118314
2,0.110076939
3,0.286258473
4,0.10903122
5,0.150497703
6,0.092821493
7,0.123807361
8,0.097154444
9,0.102623853
10,0.102394807
11,0.415614828
12,0.421531324
13,0.311208603
14,0.510791386
15,0.299807221
16,0.33212519
17,0.285968956
18,0.305625766
19,0.266427984
20,0.276326498
21,0.293798148
22,0.243135825
23,0.235417771
24,0.138409363
25,0.32571186
26,0.137730807
27,0.180608946
28,0.121285356
29,0.150288906
30,0.122798697
31,0.129581263
32,0.133282831
33,0.203522727
34,0.192015899
35,0.110901562
36,0.271564701
37,0.118592593
38,0.159137745
39,0.092422764
40,0.135760342
41,0.116762669
42,0.118721121
43,0.120632771
