,0.75
0,0.0020240456824002218
1,0.003422114251864894
2,0.008980068802072805
3,0.001565653586569682
4,0.008800569239033273
5,0.001922200743771585
6,0.004198767240846557
7,0.0259911479602829
8,0.005309690437111492
9,0.02507458876112212
10,0.004451151563042766
11,0.00143597237188553
12,0.008937252879686053
13,0.0007974804645906053
14,0.005149439173573356
15,0.0036526751448235917
16,0.0056623967034403755
17,0.03275619925723161
18,0.006848077010500719
19,0.03140138148886695
20,0.00738733849514861
21,0.01166536911250271
22,0.00235401949509928
23,0.00462215981422609
24,0.006154294857565357
25,0.008377110241282182
26,0.037974511070956396
27,0.008803877228712453
28,0.03637898894118674
29,0.009348864707128923
30,0.005035700205223703
31,0.005103650155249606
32,0.014127367594869211
33,0.0035352236587329333
34,0.04832846557978132
35,0.0026919595233036997
36,0.0485348016384235
37,0.01894698151493901
38,0.004117599560114593
39,0.0037677523935611967
40,0.003786373719826708
41,0.03203465420006635
42,0.0037997363126001105
43,0.03122960742476666
44,0.007078730764168317
45,0.014824881528057277
46,0.006933317829755703
47,0.056909779871815
48,0.006542643111560165
49,0.05591804565265723
50,0.020321076795011273
51,0.009271013560704922
52,0.015452099183844159
53,0.009969728337359762
54,0.014644105403848418
55,0.0011075578377444106
56,0.0422790451150894
57,0.002283192319066485
58,0.041680550056365284
59,0.014102286117953833
60,0.04146608363145432
61,0.00021488240523259705
62,0.010794781773543982
63,0.040803212690395
64,0.013077093534454853
65,0.01005237378097712
