MAPbBr3,Type,Dissimilarity value
1,Bare-9-Cl,0.135522142
1,Bare-9-Cl,0.140817858
1,Bare-9-Cl,0.11138218
1,Bare-9-Cl,0.097545224
1,Bare-9-Cl,0.151832545
1,Bare-9-Cl,0.137322287
1,Bare-9-Cl,0.147298357
1,Bare-9-Cl,0.071217295
1,Bare-9-Cl,0.177634314
1,Bare-9-Cl,0.100387296
1,Bare-9-Cl,0.129877459
1,Bare-9-Cl,0.098836696
1,Bare-9-Cl,0.148735411
1,Bare-9-Cl,0.153629766
1,Bare-9-Cl,0.121651112
1,Bare-9-Cl,0.10943163
1,Bare-9-Cl,0.164633219
1,Bare-9-Cl,0.149466582
1,Bare-9-Cl,0.160699343
1,Bare-9-Cl,0.081669623
1,Bare-9-Cl,0.191075576
1,Bare-9-Cl,0.111494656
1,Bare-9-Cl,0.14204945
1,Bare-9-Cl,0.10801662
1,Bare-9-Cl,0.143547887
1,Bare-9-Cl,0.148426563
1,Bare-9-Cl,0.116865419
1,Bare-9-Cl,0.104387698
1,Bare-9-Cl,0.160020689
1,Bare-9-Cl,0.144580153
1,Bare-9-Cl,0.155392329
1,Bare-9-Cl,0.077194469
1,Bare-9-Cl,0.186148542
1,Bare-9-Cl,0.106550525
1,Bare-9-Cl,0.137101343
1,Bare-9-Cl,0.104169713
1,Bare-PTEAI,0.098921352
1,Bare-PTEAI,0.101672201
1,Bare-PTEAI,0.073029702
1,Bare-PTEAI,0.064264629
1,Bare-PTEAI,0.115745963
1,Bare-PTEAI,0.099041709
1,Bare-PTEAI,0.108680713
1,Bare-PTEAI,0.044311714
1,Bare-PTEAI,0.136832333
1,Bare-PTEAI,0.064388189
1,Bare-PTEAI,0.093049022
1,Bare-PTEAI,0.064835953
1,Bare-PTEAI,0.103608584
1,Bare-PTEAI,0.107348029
1,Bare-PTEAI,0.080171696
1,Bare-PTEAI,0.069737784
1,Bare-PTEAI,0.119395298
1,Bare-PTEAI,0.104091369
1,Bare-PTEAI,0.113584454
