MAPbBr3,Type,Dissimilarity value
1,Bare,0.001457458
1,Bare,0.018712539
1,Bare,0.007283378
1,Bare,0.004144759
1,Bare,0.000811956
1,Bare,0.000511913
1,Bare,0.014279623
1,Bare,0.006907856
1,Bare,0.014772071
1,Bare,0.000893584
1,Bare,0.005597426
1,Bare,0.012455949
1,Bare,0.005791514
1,Bare,0.008441461
1,Bare,0.000392024
1,Bare,0.001506399
1,Bare,0.01378729
1,Bare,0.011112802
1,Bare,0.010369471
1,Bare,0.000598431
1,Bare,0.005505096
1,Bare,0.005184691
1,Bare,0.033625751
1,Bare,0.014449736
1,Bare,0.02085607
1,Bare,0.008576105
1,Bare,0.040732385
1,Bare,0.001052034
1,Bare,0.013318596
1,Bare,0.008981966
1,Bare,0.017813277
1,Bare,0.005971917
1,Bare,0.010018384
1,Bare,0.002326844
1,Bare,0.025082299
1,Bare,0.002319945
1,Bare,0.004813949
1,Bare,0.002013636
1,Bare,0.006502097
1,Bare,0.005211719
1,Bare,0.026057279
1,Bare,0.001464735
1,Bare,0.028165493
1,Bare,0.008149176
1,Bare,0.012175401
1,Bare,0.001182729
1,Bare,0.013498097
1,Bare,0.009409619
1,Bare,0.011816756
1,Bare,0.000350887
1,Bare,0.004653916
1,Bare,0.018336023
1,Bare,0.006733687
1,Bare,0.017452023
1,Bare,0.001277999
1,Bare,0.008242954
1,Bare,0.036360261
1,Bare,0.004630549
1,Bare,0.011172214
1,Bare,0.004278835
1,Bare,0.035852524
1,Bare,0.011642463
1,Bare,0.018700392
1,Bare,0.010576586
1,Bare,0.005624655
1,Bare,0.004141335
1,9-Cl,0.001457458
1,9-Cl,0.018712539
1,9-Cl,0.012455949
1,PTEAI,0.001457458
1,PTEAI,0.018712539
1,PTEAI,0.007283378
1,PTEAI,0.012455949
1,PTEAI,0.005791514
1,PTEAI,0.005184691
0,Bare,0.013875811
0,Bare,0.025536691
0,Bare,0.01547951
0,Bare,0.064881006
0,Bare,0.047838236
0,Bare,0.041762969
0,Bare,0.063235575
0,Bare,0.112870746
0,Bare,0.095327973
0,Bare,0.11267978
0,Bare,0.021088692
0,Bare,0.02191542
0,Bare,0.045541509
0,Bare,0.041549049
0,Bare,0.026118487
0,Bare,0.051488024
0,Bare,0.100761146
0,Bare,0.081109532
0,Bare,0.092337376
0,Bare,0.059762921
0,Bare,0.017592036
0,Bare,0.016610912
0,Bare,0.005943673
0,Bare,0.020798567
0,Bare,0.045220014
0,Bare,0.034687832
0,Bare,0.044779566
0,Bare,0.101083586
0,Bare,0.076922124
0,Bare,0.074958818
0,Bare,0.106756372
0,Bare,0.168485157
0,Bare,0.143011649
0,Bare,0.155138434
0,Bare,0.016660104
0,Bare,0.012009042
0,Bare,0.0050971
0,Bare,0.018569173
0,Bare,0.009882476
0,Bare,0.01527398
0,Bare,0.027317662
0,Bare,0.017679881
0,Bare,0.040616286
0,Bare,0.028724001
0,Bare,0.037006338
0,Bare,0.019725478
0,Bare,0.04128988
0,Bare,0.030415955
0,Bare,0.038894503
0,Bare,0.016437532
0,Bare,0.009333211
0,Bare,0.022555273
0,Bare,0.002463475
0,Bare,0.007258308
0,Bare,0.005704284
0,9-Cl,0.013875811
0,9-Cl,0.025536691
0,9-Cl,0.021088692
0,PTEAI,0.013875811
0,PTEAI,0.025536691
0,PTEAI,0.01547951
0,PTEAI,0.021088692
0,PTEAI,0.02191542
0,PTEAI,0.059762921
0.5,Bare,0.003597043
0.5,Bare,0.008923356
0.5,Bare,0.000497036
0.5,Bare,0.001567085
0.5,Bare,0.022976535
0.5,Bare,0.000701181
0.5,Bare,0.005128301
0.5,Bare,0.007479242
0.5,Bare,0.002032795
0.5,Bare,0.01231414
0.5,Bare,0.003849101
0.5,Bare,0.015830076
0.5,Bare,0.003588867
0.5,Bare,0.005294813
0.5,Bare,0.031951319
0.5,Bare,0.00482106
0.5,Bare,0.009910459
0.5,Bare,0.013074104
0.5,Bare,0.007170623
0.5,Bare,0.019316144
0.5,Bare,0.010634524
0.5,Bare,0.007745925
0.5,Bare,0.00423975
0.5,Bare,0.004329025
0.5,Bare,0.010314405
0.5,Bare,0.003795865
